Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company),Website,LinkedIn,Contact Email,Phone Number,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Total Funding Amount
"College Publisher, Inc.",https://www.crunchbase.com/organization/college-publisher-inc,"Marketing, Publishing","Boston, Massachusetts, United States","College Publisher, Inc. is an e-publishing group that provides publishing and marketing services in the collegiate publishing market.","206,585",http://www.collegepublisher.com/,,csmith@collegemedianetwork.com,(312)854-7605,,Nov-50,1,Early Stage Venture,10/8/01,"$8,500,000 ",Series B,"$8,500,000 "
Potomac Research Group,https://www.crunchbase.com/organization/potomac-research-group,Analytics,"Washington, District of Columbia, United States",Potomac Research Group is a rapidly growing independent research firm formed in 2008 to provide Washington policy and market analysis to,"229,218",http://www.potomacresearch.com,https://www.linkedin.com/company/772797,,202-600-1750,,Nov-50,1,M&A,1/9/12,,Series A,
Marex.com,https://www.crunchbase.com/organization/marex-com,"B2B, E-Commerce, Internet","Miami, Florida, United States",Marex.com is the leading provider of business-to-business e-commerce solutions for the marine industry.,"245,450",http://www.marex.com/,,enquiries@marexspectron.com,212 584 3888,,10-Jan,1,Early Stage Venture,3/8/00,"$43,000,000 ",Series A,"$43,000,000 "
Backchannelmedia,https://www.crunchbase.com/organization/backchannelmedia,"Media and Entertainment, News, Social News","Boston, Massachusetts, United States",Backchannelmedia is a developer of interactive television technologies and products that include TV-to-internet click-through portal.,"250,085",http://www.backchannelmedia.com,,emartin@backchannelmedia.com,617-210-8100,,Nov-50,1,Early Stage Venture,11/19/07,"$3,000,000 ",Series A,"$3,000,000 "
AdipoGenix,https://www.crunchbase.com/organization/adipogenix,"Biopharma, Biotechnology, Medical","Boston, Massachusetts, United States",AdipoGenix is a biopharmaceutical company.,"260,197",http://www.adipogenix.com/,,info@adipogenix.com,617-638-6394,Gerri Waloga,10-Jan,1,Early Stage Venture,6/20/05,"$8,250,000 ",Series A,"$8,250,000 "
Nimaya,https://www.crunchbase.com/organization/nimaya,"Enterprise Software, Financial Services, Telecommunications","Washington, District of Columbia, United States","Nimaya provides enterprise software solutions for telecommunications, financial services, and manufacturing organizations.","280,150",http://www.nimaya.com,,inquiries@nimaya.com,703-462-1291,,Nov-50,1,Early Stage Venture,5/24/06,"$3,000,000 ",Series A,"$3,000,000 "
Markette,https://www.crunchbase.com/organization/markette,"Internet, Online Portals, Sales","Washington, District of Columbia, United States","Markette.com, a provider of Internet portals aimed at the sales profession.","280,322",http://www.markette.com/,https://www.linkedin.com/in/markette,info@markette.com,(425)895-8771,,10-Jan,2,Early Stage Venture,7/25/00,"$1,600,000 ",Series A,"$1,600,000 "
Global Roaming,https://www.crunchbase.com/organization/global-roaming,"Communications Infrastructure, Mobile, Telecommunications","Miami, Florida, United States",Global Roaming is a mobile virtual network operator that offers roaming solutions for corporations and leisure travelers.,"306,167",http://www.globalroaming.us,,info@celtrek.com,305-249-3121,,Nov-50,2,Early Stage Venture,2/1/08,"$23,000,000 ",Series B,"$30,500,000 "
VoIP Group,https://www.crunchbase.com/organization/voip-group,"Internet, ISP, Telecommunications","Miami, Florida, United States",VoIP Group develops and markets internet telephony software solutions.,"306,758",http://www.voipgroup.com/,https://www.linkedin.com/company/96281,brasil@voipgroup.com,5.51E+11,,Nov-50,1,Early Stage Venture,12/14/01,"$4,400,000 ",Series B,"$4,400,000 "
Finale Desserts,https://www.crunchbase.com/organization/finale-desserts,Hospitality,"Boston, Massachusetts, United States","We create sensational dessert experiences at Finale. We use the best ingredients, like Valrhona chocolate and Tahitian vanilla beans. We","321,759",http://www.finaledesserts.com,,,+1 (617) 958-4040,,10-Jan,2,Early Stage Venture,2/1/07,,Series B,
Sprockets.com,https://www.crunchbase.com/organization/sprockets-com,Professional Services,"Miami, Florida, United States","Sprockets.com, a secure, scalable, Internet-based service that enables client, creative, production and media professionals.","423,556",http://www.sprockets.com,,,,,10-Jan,1,Early Stage Venture,1/25/00,"$4,300,000 ",Series A,"$4,300,000 "
VisitorsCafe,https://www.crunchbase.com/organization/visitorscafe,"Hardware, Messaging, SaaS, Video Chat","Boston, Massachusetts, United States",VisitorsCafe is a feature that socializes the web's content.,"451,179",http://www.visitorscafe.com,,contact@visitorscafe.com,,Morgan Hermand-Waiche,10-Jan,1,Early Stage Venture,1/1/11,,Series A,
Smyte,https://www.crunchbase.com/organization/smyte,"Apps, Fraud Detection, Mobile, Spam Filtering","San Francisco, California, United States",Smyte stops bad actors on marketplaces and social networks.,83,https://www.smyte.com/,https://www.linkedin.com/company/smyte,founders@smyte.com,,"Josh Yudaken, Julian Tempelsman, Pete Hunt",Nov-50,3,M&A,3/28/17,"$4,000,000 ",Series A,"$6,250,000 "
Magic,https://www.crunchbase.com/organization/magic,"Apps, Artificial Intelligence, B2B, Customer Service, Messaging, Mobile, Outsourcing, Task Management, Virtual Assistant","San Francisco, California, United States",Magic provides a 24/7 SMS based on-demand personal assistant service.,103,https://www.getmagic.com/,https://www.linkedin.com/company/get-magic-now,questions@getmagic.com,(834)89-,"Aaron Kemmer, Benjamin Godlove, David Merriman, Michael Rubin, Mike Chen, Nic Novak",Nov-50,2,Early Stage Venture,3/26/15,"$12,000,000 ",Series A,"$12,120,000 "
Hims,https://www.crunchbase.com/organization/hims,"Health Care, Men's, Wellness","San Francisco, California, United States",Hims is a men's wellness brand helping guys get access to the best that science has to offer. ,128,https://www.forhims.com/,https://www.linkedin.com/company/hims-inc/,press@forhims.com,1-800-368-0038,"Andrew Dudum, Jack Abraham",Nov-50,5,Early Stage Venture,6/28/18,"$50,000,000 ",Series B,"$97,000,000 "
Bento for Business,https://www.crunchbase.com/organization/bento,"Financial Services, FinTech, Small and Medium Businesses, Software","San Francisco, California, United States","Bento provides simple and elegant financial solutions for SMBs, combining prepaid card and online software to control employee expenses.",177,https://bentoforbusiness.com/,http://www.linkedin.com/company/bento-inc-,,866-220-8455,"Farhan Ahmad, Sean Anderson",Nov-50,4,Early Stage Venture,6/28/18,"$9,000,000 ",Series B,"$18,500,000 "
Benchling,https://www.crunchbase.com/organization/benchling,"Biotechnology, Health Care, Life Science","San Francisco, California, United States",Benchling makes life science research faster and more collaborative.,201,http://benchling.com,http://www.linkedin.com/company/3769390,hello@benchling.com,,"Ashutosh Singhal, Cory Li, Sajith Wickramasekara",Nov-50,4,Early Stage Venture,6/14/18,"$14,500,000 ",Series B,"$27,400,000 "
MasterClass,https://www.crunchbase.com/organization/masterclass,"Digital Media, Education, Internet","San Francisco, California, United States",MasterClass offers online classes from the world's best.,293,http://www.masterclass.com,https://www.linkedin.com/company/masterclassinc/,support@masterclass.com,(855) 981-8208,"Aaron Rasmussen, David Rogier",Nov-50,4,Late Stage Venture,3/28/17,"$35,000,000 ",Series C,"$56,400,000 "
AngelList,https://www.crunchbase.com/organization/angellist,"Angel Investment, Finance, Funding Platform, Internet","San Francisco, California, United States","AngelList is a U.S. website for startups, angel investors, and job-seekers looking to work at startups.",310,http://angel.co,http://www.linkedin.com/company/angellist,team@angel.co,,"Babak Nivi, Naval Ravikant",Nov-50,9,Early Stage Venture,3/9/15,"$2,100,000 ",Series B,"$26,200,000 "
IFTTT,https://www.crunchbase.com/organization/if-this-then-that,"Information Services, Information Technology, Internet","San Francisco, California, United States",IFTTT empowers people to do more with the services they love.,336,https://ifttt.com,http://www.linkedin.com/company/ifttt,,,"Alexander Tibbets, Linden Tibbets",Nov-50,4,Late Stage Venture,4/26/18,"$24,000,000 ",Series C,"$62,500,000 "
Brigade,https://www.crunchbase.com/organization/brigade,"Internet, Politics, Social Media","San Francisco, California, United States","Brigade wants to make civic engagement easy, effective, and enjoyable ‰ÛÓ and in so doing, restore political power back to the people.",357,http://www.brigade.com,https://www.linkedin.com/company/3761813,,9163419482,"James Windon, Jason Putorti, John Thrall, Matt Mahan, Miche Capone",Nov-50,1,Early Stage Venture,8/6/14,"$9,000,000 ",Series A,"$9,000,000 "
Directly,https://www.crunchbase.com/organization/directly,"Artificial Intelligence, Customer Service, Machine Learning, Marketplace","San Francisco, California, United States",Directly's crowd-powered AI platform harnesses gig work models and AI to transform and scale customer service.,371,https://www.directly.com,https://www.linkedin.com/company/directly,abrydon@directly.com,800-787-3176,"Antony Brydon, Jean Tessier, Jeff Patterson",Nov-50,5,Early Stage Venture,4/10/18,"$20,000,000 ",Series B,"$35,750,000 "
Apollo,https://www.crunchbase.com/organization/zenprospect,"Computer, Lead Generation, Sales, Sales Automation, Software","San Francisco, California, United States",Apollo is the foundation of your entire go-to-market strategy. ,384,https://www.apollo.io,https://www.linkedin.com/company/apollo-io/,sales@apollo.io,,"Ray Li, Roy Chung, Tim  Zheng",Nov-50,3,Early Stage Venture,6/26/18,"$7,000,000 ",Series A,"$9,320,000 "
Allbirds,https://www.crunchbase.com/organization/allbirds,"Fashion, Marketplace, Shopping","San Francisco, California, United States",Allbirds manufactures an eco-friendly wool shoes.,418,https://www.allbirds.com,https://www.linkedin.com/company/allbirds,help@allbirds.com,+1 (888) 963-8944,"Joseph   Zwillinger, Tim Brown",Nov-50,4,Early Stage Venture,9/5/17,"$17,500,000 ",Series B,"$27,450,000 "
Aclima,https://www.crunchbase.com/organization/aclima,"Location Based Services, Sensor, Software","San Francisco, California, United States","Aclima delivers environmental intelligence through sensor networks to reveal actionable insights for buildings, cities, and industries.",452,https://aclima.io/,https://www.linkedin.com/company/aclima-inc-,hello@aclima.io,415-249-4912,"Davida  Herzl, Reuben  Herzl",Nov-50,1,Early Stage Venture,6/26/18,"$24,000,000 ",Series A,"$24,000,000 "
Grove,https://www.crunchbase.com/organization/grove-5,"Advice, Finance, Financial Services, FinTech","San Francisco, California, United States",Grove offers a personalized financial planning and advice at a fraction of the price of traditional financial advisers.,483,https://hellogrove.com,https://www.linkedin.com/company/usegrove/,contact@hellogrove.com,," Chris  Doyle, Chris Hutchins",10-Jan,2,Early Stage Venture,6/20/18,"$8,000,000 ",Series A,"$10,100,000 "
Valimail,https://www.crunchbase.com/organization/valimail,"Cyber Security, Email, Internet","San Francisco, California, United States",Valimail authenticates legitimate email and blocks phishing attacks.,500,https://www.valimail.com,https://www.linkedin.com/company/valimail/,info@valimail.com,888.354.6179,"Alexander Garcia-Tobar, Peter Goldstein",Nov-50,4,Early Stage Venture,5/22/18,"$25,000,000 ",Series B,"$39,799,999 "
Philo,https://www.crunchbase.com/organization/philo,"Digital Media, Information Technology, Software, TV","San Francisco, California, United States",Philo offers an entertainment-focused streaming service nationwide.,533,http://philo.com,https://www.linkedin.com/company/philo,contact@philo.com,,"Nicholas Krasney, Tuan Ho",Nov-50,7,Late Stage Venture,7/3/18,"$41,369,990 ",Series C,"$83,202,990 "
Skip Scooters,https://www.crunchbase.com/organization/skip-scooters,"Public Transportation, Rental, Transportation","San Francisco, California, United States",Skip Scooters operates shared electric scooters for reliable last-mile transportation. ,534,https://skipscooters.com/,https://www.linkedin.com/company/skip-scooters/,,+1 844-929-2687,"Mike Wadhera, Sanjay Dastoor",10-Jan,2,Early Stage Venture,6/12/18,"$25,000,000 ",Series A,"$31,000,000 "
BetterDoctor,https://www.crunchbase.com/organization/betterdoctor-inc,"Apps, Database, Developer APIs, Health Care, Internet, Medical, Mobile, SaaS, Search Engine","San Francisco, California, United States","BetterDoctor, a technology company, delivers provider directory data and has a database that can be accessed through a responsive API.",571,http://BetterDoctor.com,http://www.linkedin.com/company/betterdoctor,press@betterdoctor.com,1(190)390-54468,"Ari Tulla, Tapio Tolvanen",Nov-50,6,M&A,6/20/17,"$11,000,000 ",Series B,"$25,930,681 "
Appthority,https://www.crunchbase.com/organization/appthority,"Mobile, Mobile Apps, Security","San Francisco, California, United States","Appthority is the global leader in enterprise mobile threat protection. We keep security teams informed, employees productive and enterpr",580,http://www.appthority.com,http://www.linkedin.com/company/appthority,contact@appthority.com,844-277-7475,"Anthony Bettini, Domingo Guerra, Kevin Watkins",Nov-50,4,Early Stage Venture,7/13/16,"$7,000,000 ",Series B,"$25,250,000 "
Earn.com,https://www.crunchbase.com/organization/earn-com,"Bitcoin, Email, FinTech, Internet, Social Network, Virtual Currency","San Francisco, California, United States",Earn money for replying to emails and completing tasks.,648,https://earn.com,https://www.linkedin.com/company/18311064/,support@earn.com,,"Balaji S. Srinivasan, Daniel Firu, Matt Pauker, Nigel Drego, Veerbhan Kheterpal",Nov-50,2,M&A,3/10/15,"$116,000,000 ",Series B,"$121,050,000 "
Nova Credit,https://www.crunchbase.com/organization/nova-credit,"Consumer, Credit, Credit Bureau, Data Integration, Financial Services, FinTech, Information Technology","San Francisco, California, United States",Nova Credit provides lenders and others with international consumer credit data to acquire immigrants that lack domestic credit history,678,http://neednova.com,https://www.linkedin.com/company/nova-credit-inc,info@neednova.com,(844)423-1345,"Loek Janssen, Misha Esipov, Nicky Goulimis",Nov-50,5,Early Stage Venture,5/30/18,"$16,000,000 ",Series A,"$19,420,000 "
ClassDojo,https://www.crunchbase.com/organization/classdojo,"EdTech, Education, Knowledge Management","San Francisco, California, United States","ClassDojo is a school communication platform that makes it easy for teachers, parents, and students to share what‰Ûªs happening at school.",699,http://www.classdojo.com,http://www.linkedin.com/company/2293241,hello@classdojo.com,650-503-3656,"Liam Don, Sam Chaudhary",Nov-50,4,Early Stage Venture,4/15/16,"$21,000,000 ",Series B,"$31,100,000 "
